Actual Distance,Predicted Distance
1100,1099.983277
450,450.0057856
550,550.0025784
1100,1099.983277
800,799.9957497
600,600.0009354
900,899.9923123
400,400.0073367
250,250.016064
350,350.0084136
900,899.9923123
750,749.9976683
350,350.0084136
700,699.9990414
500,500.0034442
600,600.0009354
350,350.0084136
800,799.9957497
550,550.0025784
600,600.0009354
1100,1099.983277
550,550.0025784
900,899.9923123
250,250.016064
500,500.0034442
800,799.9957497
600,600.0009354
800,799.9957497
450,450.0057856
500,500.0034442
700,699.9990414
900,899.9923123
300,300.0115868
500,500.0034442
500,500.0034442
500,500.0034442
300,300.0115868
500,500.0034442
650,649.9998882
250,250.016064
900,899.9923123
1000,999.9883872
750,749.9976683
300,300.0115868
700,699.9990414
550,550.0025784
1100,1099.983277
600,600.0009354
650,649.9998882
1000,999.9883872
350,350.0084136
400,400.0073367
300,300.0115868
1100,1099.983277
800,799.9957497
600,600.0009354
600,600.0009354
400,400.0073367
1000,999.9883872
300,300.0115868
900,899.9923123
350,350.0084136
600,600.0009354
800,799.9957497
900,899.9923123
300,300.0115868
700,699.9990414
900,899.9923123
500,500.0034442
350,350.0084136
450,450.0057856
550,550.0025784
500,500.0034442
250,250.016064
800,799.9957497
650,649.9998882
700,699.9990414
400,400.0073367
450,450.0057856
