Actual Distance,Predicted Distance
250,250.0001
600,600.00006
400,400.00006
350,350.0001
700,700.0
900,899.99994
250,250.0001
400,400.00006
500,500.0
450,450.00003
550,550.00006
700,700.0
600,600.00006
600,600.00006
600,600.00006
500,500.0
700,700.0
900,899.99994
600,600.00006
800,799.99994
550,550.00006
800,799.99994
700,700.0
250,250.0001
900,899.99994
750,750.0
750,750.0
550,550.00006
750,750.0
650,650.0
300,300.00012
900,899.99994
700,700.0
800,799.99994
250,250.0001
1000,999.9999
600,600.00006
550,550.00006
350,350.0001
350,350.0001
250,250.0001
700,700.0
1000,999.9999
300,300.00012
500,500.0
550,550.00006
650,650.0
1000,999.9999
250,250.0001
800,799.99994
550,550.00006
450,450.00003
250,250.0001
800,799.99994
1000,999.9999
800,799.99994
400,400.00006
800,799.99994
650,650.0
350,350.0001
650,650.0
500,500.0
1100,1099.9999
300,300.00012
1100,1099.9999
800,799.99994
600,600.00006
700,700.0
500,500.0
750,750.0
550,550.00006
250,250.0001
300,300.00012
450,450.00003
900,899.99994
650,650.0
250,250.0001
550,550.00006
250,250.0001
